GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
loomai-backend,io.loomai.backend.health,HealthController,0,9,0,0,0,2,0,2,0,2
loomai-backend,io.loomai.backend.health,HealthResponse,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.shared.shell,UserShellResolver,14,168,11,19,6,34,12,15,1,11
loomai-backend,io.loomai.backend.conversation,ConversationController,20,34,1,1,3,9,3,6,2,6
loomai-backend,io.loomai.backend.conversation,OpenAiCompatibleConversationReplyGateway,234,0,28,0,51,0,20,0,6,0
loomai-backend,io.loomai.backend.conversation,ConversationRequest,0,6,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.conversation,Message,0,18,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.conversation,LocalAgentConversationReplyService.ActiveExecution,0,6,0,0,0,3,0,1,0,1
loomai-backend,io.loomai.backend.conversation,MessageRequest,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.conversation,ConversationService,223,0,12,0,69,0,18,0,12,0
loomai-backend,io.loomai.backend.conversation,MessageRepository,12,78,0,0,2,19,1,4,1,4
loomai-backend,io.loomai.backend.conversation,CancelReplyResponse,6,0,0,0,1,0,1,0,1,0
loomai-backend,io.loomai.backend.conversation,Conversation,0,15,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.conversation,ConversationRepository,12,102,0,0,2,22,1,6,1,6
loomai-backend,io.loomai.backend.conversation,ConversationReplyRequest,0,12,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.conversation,LocalAgentConversationReplyService,1158,503,200,60,242,117,143,25,16,20
loomai-backend,io.loomai.backend,LoomaiBackendApplication,5,3,0,0,2,1,1,1,1,1
loomai-backend,io.loomai.backend.profile,ProfileRepository,36,84,1,1,9,22,2,5,1,5
loomai-backend,io.loomai.backend.profile,ProfileController,0,15,0,0,0,5,0,3,0,3
loomai-backend,io.loomai.backend.profile,ProfileRequest,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.profile,ProfileService,25,65,0,0,6,15,2,6,2,6
loomai-backend,io.loomai.backend.profile,Profile,0,18,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.session,SessionService,553,0,64,0,119,0,47,0,15,0
loomai-backend,io.loomai.backend.session,SessionRequest,23,0,4,0,4,0,3,0,1,0
loomai-backend,io.loomai.backend.session,SessionController,11,0,0,0,4,0,2,0,2,0
loomai-backend,io.loomai.backend.workflow,WorkflowController,5,21,0,0,2,6,1,4,1,4
loomai-backend,io.loomai.backend.workflow,WorkflowService,26,64,0,0,4,20,3,4,3,4
loomai-backend,io.loomai.backend.workflow,WorkflowRequest,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.workflow,WorkflowRepository,28,142,0,0,6,31,1,8,1,8
loomai-backend,io.loomai.backend.workflow,Workflow,0,18,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.shared.error,GlobalExceptionHandler,11,89,1,1,2,31,2,8,1,8
loomai-backend,io.loomai.backend.shared.error,FieldViolation,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.shared.error,ApiErrorResponse,0,15,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.shared.error,ErrorCode,0,33,0,0,0,6,0,1,0,1
loomai-backend,io.loomai.backend.shared.error,ApiException,0,30,0,0,0,10,0,5,0,5
loomai-backend,io.loomai.backend.agent,Agent,0,21,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.agent,AgentService,62,338,10,14,11,79,12,22,3,19
loomai-backend,io.loomai.backend.agent,AdapterModel,0,9,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.agent,AgentSchemaMigration,244,81,60,10,44,23,39,8,4,5
loomai-backend,io.loomai.backend.agent,AgentRequest,0,15,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.agent,AgentController,0,30,0,0,0,8,0,6,0,6
loomai-backend,io.loomai.backend.agent,AgentRepository,18,241,4,10,5,53,4,15,0,12
loomai-backend,io.loomai.backend.agent,LocalAgentScanner.AgentDefinition,18,0,0,0,1,0,1,0,1,0
loomai-backend,io.loomai.backend.agent,AgentRepository.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.agent,LocalAgentScanner,649,0,82,0,138,0,65,0,18,0
loomai-backend,io.loomai.backend.settings,SettingsRepository,49,104,5,5,11,25,6,6,1,6
loomai-backend,io.loomai.backend.settings,SettingsController,0,15,0,0,0,5,0,3,0,3
loomai-backend,io.loomai.backend.settings,Settings,0,18,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.settings,SettingsService,32,53,0,0,7,16,3,5,3,5
loomai-backend,io.loomai.backend.settings,SettingsRequest,0,12,0,0,0,1,0,1,0,1
loomai-backend,io.loomai.backend.shared.time,UtcClock,0,5,0,0,0,2,0,2,0,2
loomai-backend,io.loomai.backend.terminal,TerminalWebSocketHandler,141,0,10,0,34,0,13,0,8,0
loomai-backend,io.loomai.backend.terminal,WebSocketConfig,0,25,0,0,0,6,0,2,0,2
loomai-backend,io.loomai.backend.terminal,TerminalWebSocketHandler.SessionState,9,0,0,0,1,0,1,0,1,0
